#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
1,01-100420801,CPU INTEL Cascade Lake Xeon Silver-4208 2.1/3.2GHz 8Core FCLGA3647,INTEL,USD 360.0000,
2,01-104202661,*CPU INTEL PRIXP420BB 266MHZ PBGA PB_FREE,INTEL,NTD 283.1300,NTD 283.1300
3,01-112250310,*CPU INTEL Xeon E3-1225 3.1GHz 4Core Micro-LGA1155 PB_FREE,INTEL,USD 192.0000,USD 192.0000
4,01-112300310,CPU INTEL Xeon E3-1230V2 3.3GHz 4Core Micro-LGA1155 PB_FREE,INTEL,USD 205.0000,USD 205.0000
5,01-115080220,CPU INTEL Broadwell-DE D1508 2.2GHz 2 Core FCBGA1667 PB_FREE,INTEL,USD 99.0000,USD 99.0000
6,01-115190150,CPU INTEL Broadwell-DE Xeon D-1527 2.2GHz 4 Core BGA1667 PB_FREE,INTEL,USD 217.0000,USD 217.0000
7,01-115210240,CPU INTEL Broadwell-DE Xeon D-1521 2.4GHz 4 Core  FCBGA1667 PB_FREE,INTEL,USD 108.1800,USD 205.0000
8,01-115310220,CPU INTEL Broadwell-DE Xeon D-1531 2.2GHz 6 Core  FCBGA1667 PB_FREE,INTEL,USD 314.0000,USD 336.0000
9,01-115390160,CPU INTEL Broadwell-DE D-1539 1.6GHz 8 Core BGA1667 PB_FREE,INTEL,,
10,01-115410210,CPU INTEL Broadwell-DE Xeon D-1541 2.1GHz 8 Core  FCBGA1667 PB_FREE,INTEL,USD 524.0000,USD 561.0000
11,01-115670210,CPU INTEL Broadwell-DE Xeon D-1567 2.1GHz 12 Core FCBGA1667 PB_FREE,INTEL,"USD 1,144.0000","USD 1,144.0000"
12,01-118001333,*CPU INTEL Celeron J1800 1333MHz Dual Core FCBGA 1170-ball PB_FREE,INTEL,,USD 19.0000
13,01-121000310,*CPU INTEL SANDY BRIDGE I3_2100 CM8062301061600S 3.1GHz LGA1155 PB_FREE,INTEL,USD 110.0000,USD 110.0000
14,01-121200310,*CPU INTEL SANDY BRIDGE I3_2120 CM8062301044204.SR05Y 3.3GHz LGA1155 PB_FREE,INTEL,USD 110.0000,USD 110.0000
15,01-121430220,CPU INTEL Xeon D2143-IT 2.2GHz 8Core FCBGA2518 PB_FREE,INTEL,,
16,01-122140340,CPU INTEL Broadwell-DE D-1528 1.9GHz 6 Core BGA1667 PB_FREE,INTEL,USD 299.0000,USD 299.0000
17,01-123456789,*CPU INTEL PRIXP420BB 266MHZ PBGA PB_FREE,ACARD,,
18,01-125380240,CPU INTEL Avoton FH8065501516762S R1S9 (C2538) 2.4GHz 4Core FCBGA10/FCBGA11 PB_FREE,INTEL,USD 60.0000,USD 60.0000
19,01-125380241,CPU INTEL Avoton FH8065503553400S R3GZ(C2538) 2.4GHz 4Core FCBGA10/FCBGA11 PB_FREE,INTEL,USD 80.0000,USD 80.0000
20,01-125500180,*CPU INTEL Cedarview D2550 1.8GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 20.0000,USD 20.0000
21,01-126200240,CPU INTEL Haswell E5-2620V3 2.4GHz 6Core LGA2011-3 PB_FREE,INTEL,USD 328.0000,USD 388.0000
22,01-127012130,*CPU INTEL Cedarview DF8064101365900 R0W5 (D2701) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 23.5000,USD 23.5000
23,01-127012131,*CPU INTEL Cedarview DF8064101365900 R0W5 (D2701) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 23.0000,USD 23.0000
24,01-127012132,*CPU INTEL Cedarview DF8064101365900 R0W6 (D2701 ver. B3) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 22.0000,USD 22.0000
25,01-127012133,*CPU INTEL Cedarview DF8064101365900 R0W6 (D2701 ver. B3) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 22.0000,USD 22.0000
26,01-130000200,CPU INTEL Denverton C3538 2.1GHz 4Core FCBGA15-1310 PB_FREE,INTEL,USD 71.5000,USD 71.5000
27,01-130602480,*CPU INTEL Braswell N3060 2.48GHz 2Core FCBGA15-1170 PB_FREE,INTEL,USD 15.0000,USD 15.0000
28,01-131602240,*CPU INTEL Braswell N3160 2.24GHz 4Core FCBGA15-117 PB_FREE,INTEL,USD 25.0000,USD 25.0000
29,01-133550200,*CPU INTEL Apollo Lake J3355 2.0GHz 2Core FCBGA-1296 PB_FREE,INTEL,USD 22.0000,USD 22.0000
30,01-137102560,*CPU INTEL Braswell N3710 2.56GHz 4Core FCBGA15-117 PB_FREE,INTEL,USD 40.0000,USD 40.0000
31,01-140050200,*CPU INTEL Celeron J4005 2GHz 2Core FCBGA 1090-ball PB_FREE,INTEL,USD 20.0000,
32,01-140250200,*CPU INTEL Celeron J4025 2GHz 2Core FCBGA PB_FREE,INTEL,USD 24.0000,USD 24.0000
33,01-141050150,*CPU INTEL Celeron J4105 1.5GHz 4Core FCBGA 1090-ball PB_FREE,INTEL,USD 27.0000,
34,01-141100210,CPU INTEL Purley Xeon Silver-4110 2.1GHz 8 Core FCLGA3647 PB_FREE,INTEL,USD 468.0000,USD 468.0000
35,01-141250200,*CPU INTEL Celeron J4125 2GHz 4Core FCBGA PB_FREE,INTEL,USD 32.0000,USD 32.0000
36,01-141300340,*CPU INTEL Haswell CM8064601483615-R1NP (I3-4130) SR1HG 3.4GHz  LGA1150 PB_FREE,INTEL,USD 109.0000,USD 109.0000
37,01-142050150,*CPU INTEL Apollo Lake J4205 1.5GHz 4Core FCBGA-1296 PB_FREE,INTEL,USD 50.0000,USD 50.0000
38,01-142100240,CPU INTEL Purley Xeon Silver-4210R 2.4GHz 10 Core FCLGA3647 PB_FREE,INTEL,USD 526.0000,USD 526.0000
39,01-142140240,CPU INTEL Xeon 4214R 2.4GHz 12 Core FCLGA3647 PB_FREE,INTEL,USD 647.0000,USD 729.0000
40,01-143926000,*CPU INTEL Pineview AU80610004392AAS 1.6GHz Dual Core Micro-FCBGA8 PB_FREE,INTEL,USD 40.0000,USD 40.0000
41,01-146716000,*CPU INTEL Pineview AU80610004671AAS 1.6GHz Single Core Micro-FCBGA8 PB_FREE,INTEL,USD 30.0000,USD 30.0000
42,01-153002000,*CPU INTEL Evansport CE5300 1.2GHz Dual Core PKG34x28 FPBGA 1283-ball PB_FREE,INTEL,,
43,01-153356000,*CPU INTEL Evansport HCE5335S5 SR1HG 1.6GHz Dual Core FPBGA 1283-ball PB_FREE,INTEL,USD 28.3000,USD 28.3000
44,01-154780280,CPU INTEL Braswell N3150 1.6GHz 4Core FCBGA15-1170 PB_FREE,INTEL,USD 27.0000,USD 27.0000
45,01-154780281,*CPU INTEL Braswell N3700 1.6GHz 4Core FH8066501715923S R2A7 FCBGA15-1170 PB_FREE,INTEL,,
46,01-154780282,CPU INTEL Braswell N3050 1.6GHz 2Core FCBGA15-1170 PB_FREE,INTEL,USD 17.0000,USD 17.0000
47,01-155200240,*CPU INTEL Capella I5_520E 2.4GHz BGA1288 PB_FREE,INTEL,USD 213.0000,
48,01-162250180,*CPU INTEL Pineview AU80610006225AAS 1.8GHz Dual Core Micro-FCBGA8 PB_FREE,INTEL,USD 20.5000,USD 20.5000
49,01-162520180,*CPU INTEL Pineview AU80610006252AA.LBXD 1.8GHz Single Core Micro-FCBGA8 PB_FREE,INTEL,USD 28.0000,USD 20.5000
50,01-194816000,*CPU INTEL Apollo Lake J3455 1.5GHz 4Core FCBGA-1296 PB_FREE,INTEL,USD 27.0000,USD 27.0000
51,01-1CEDA0230,*CPU INTEL Cedarview DF8064101055647  SR0D9(D2700) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 23.5000,USD 23.5000
52,01-1CEDA0231,*CPU INTEL Cedarview DF8064101365900 R0W6 (D2701 ver. B3) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,"NTD 1,492.0000",USD 21.9000
53,01-1ICXD0001,CPU INTEL ICE Lake Xeon-D LCC ?/?GHz ?Core FCBGA2227,INTEL,,
54,01-1PINE6000,*CPU INTEL Pineview 1.6GHz Micro-FCBGA8 PB_FREE,INTEL,,
55,01-1S0010010,*CPU INTEL COFFEE LAKE S-SERIES PB_FREE,INTEL,,
56,01-1XXXX0240,*CPU INTEL Avoton xxxx  2.4GHz 4Core FCBGA10/FCBGA11 PB_FREE,INTEL,,
57,01-210148000,*CPU FREESCALE P1014 800MHz TePBGAI-425 PB_FREE,FREESCALE,,
58,01-210220100,*CPU FREESCALE P1022 1.0GHz WB-TEPBGA-2 PB_FREE,FREESCALE,,USD 19.9000
59,01-210220101,*CPU FREESCALE P1022SSE2LHB 1.066GHz WB-TEPBGA-2 PB_FREE,FREESCALE,USD 19.9000,USD 19.9000
60,01-267020100,*CPU MARVELL 88F6702-A1-LGO2C000 1000MHZ LQFP216 PB_FREE,MARVELL,USD 7.3000,USD 7.3000
61,01-282412000,*CPU FREESCALE MPC8241LVR200D 200MHZ PBGA357 PB_FREE,FREESCALE,USD 9.7000,USD 9.7000
62,01-282412660,*CPU FREESCALE MPC8241LVR266D 266MHZ PBGA,FREESCALE,USD 10.0000,USD 10.0000
63,01-282454000,*CPU FREESCALE MPC8245ARVV400D 400MHZ TBGA PB_FREE,FREESCALE,USD 29.0000,USD 29.0000
64,01-283154000,*CPU FREESCALE MPC8315EVRAGDA 400MHz TEPBGAII620  PB_FREE,FREESCALE,USD 10.5000,USD 10.5000
65,01-283434000,*CPU FREESCALE MPC8343VRAGD 400MHZ PBGA620 PB_FREE,FREESCALE,NTD 692.7100,NTD 692.7100
66,01-283474000,*CPU FREESCALE MPC8347VRAGD 400MHZ PBGA620 PB_FREE,FREESCALE,NTD 801.7500,NTD 801.7500
67,01-283476670,*CPU FREESCALE MPC8347VVALFB 667MHZ TBGA672 PB_FREE,FREESCALE,USD 36.8000,USD 36.8000
68,01-285330670,*CPU FREESCALE MPC8533VTARJ 1.067GHZ FCPBGA783 PB_FREE,FREESCALE,USD 35.0000,USD 35.0000
69,01-28533067E,*CPU FREESCALE MPC8533EVTARJ 1.067GHZ FCPBGA783 PB_FREE,FREESCALE,USD 35.0000,USD 35.0000
70,01-285336670,*CPU FREESCALE MPC8533VTALF 667MHZ FCPBGA783 PB_FREE,FREESCALE,,
71,01-285338000,*CPU FREESCALE MPC8533VTANG 800MHZ FCPBGA783 PB_FREE,FREESCALE,USD 55.8100,USD 55.8100
72,01-285438000,*CPU FREESCALE MPC8543VUANG 800MHZ FCCBGA783 PB_FREE,FREESCALE,USD 75.5000,USD 75.5000
73,01-285483330,*CPU FREESCALE MPC8548EVUAUJ 1333MHZ FCCBGA783 PB_FREE,FREESCALE,USD 77.0003,USD 77.0003
74,01-364415130,*CPU TI TMS320DM6441AZWT 513MHz NFBGA361 PB_FREE,TI,,
75,01-364465940,*CPU TI TMS320DM6446AZWT 594MHz NFBGA361 PB_FREE,TI,USD 21.0000,USD 21.0000
76,01-364468100,*CPU TI TMS320DM6446AZWT 810MHz NFBGA361 PB_FREE,TI,,
77,01-364468101,*CPU TI TMS320DM6446BZWT8 810MHz NFBGA361 PB_FREE,TI,USD 21.0001,USD 21.0000
78,01-480130480,*USB Microcontroller CY7C68013A-56PVXC_SSOP56,CYPRESS,NTD 115.4000,NTD 115.4000
79,01-532101500,*Microcontroller 150MHz LQFP-216 R3210G,RDC,USD 5.7000,USD 5.7000
80,01-637002000,CPU MARVELL 88F3720-A0-BVB2C120-P123 1.2GHz TFBGA PB_FREE,MARVELL,USD 5.5000,USD 5.5000
81,01-637008000,CPU MARVELL 88F3720-A0-BVB2C080-P123 800MHz TFBGA PB_FREE,MARVELL,USD 5.9500,USD 6.5500
82,01-651825000,*CPU MARVELL 88F5182-A2-BEG1C500 500MHz HSBGA388 PB_FREE,MARVELL,NTD 624.3100,NTD 624.3100
83,01-652815000,*CPU MARVELL 88F5281-D0-BFO1C500 500MHz HSBGA426 PB_FREE,MARVELL,USD 20.9000,USD 20.9000
84,01-652815001,*CPU MARVELL 88F5281-D2-BFO2C500 500MHz HSBGA426 PB_FREE,MARVELL,,
85,01-661808000,*CPU MARVELL 88F6180-A1-BIR2C080 800MHz LFBGA PB_FREE,MARVELL,USD 7.0000,USD 7.0000
86,01-662810100,*CPU MARVELL 88F6281-A1-BIA2C100 1.0GHz HSBGA288 PB_FREE,MARVELL,,USD 8.5000
87,01-662812000,*CPU MARVELL 88F6281-A0-BIA2C120 1200MHz HSBGA288 PB_FREE,MARVELL,USD 25.1100,USD 26.7000
88,01-662812001,*CPU MARVELL 88F6281-A1-BIA2C120 1200MHz HSBGA288 PB_FREE,MARVELL,USD 10.5000,USD 10.5000
89,01-662818000,*CPU MARVELL 88F6281-A1-BIA2C080 800MHz HSBGA288 PB_FREE,MARVELL,USD 7.0000,USD 7.5000
90,01-662818001,*CPU MARVELL 88F6281-A0-BIA2C080 800MHz HSBGA288 PB_FREE,MARVELL,USD 9.5000,USD 9.5000
91,01-662820200,*CPU MARVELL 88F6282-A0-BKI2C200 2000MHz HFCBGA304 PB_FREE,MARVELL,USD 27.2500,USD 27.2500
92,01-662820201,*CPU MARVELL 88F6282-A1-BKI2C200 2GHz FCBGA304 PB_FREE,MARVELL,USD 9.5000,USD 16.5000
93,01-662826000,*CPU MARVELL 88F6282-A0-BKI2C160 1600MHz FCBGA304 PB_FREE,MARVELL,USD 14.1000,USD 14.1000
94,01-662826001,*CPU MARVELL 88F6282-A1-BKI2C160 1600MHz FCBGA304 PB_FREE,MARVELL,USD 13.3000,USD 13.3000
95,01-667070100,*CPU MARVELL 88F6707-A1-BMI2C100 1.0GHz HSBGA286 PB_FREE,MARVELL,,
96,01-667072000,CPU MARVELL 88F6707-A1-BMI2C120 1.2GHz HSBGA286 PB_FREE,MARVELL,USD 9.5000,USD 9.5000
97,01-667078000,CPU MARVELL 88F6707-A1-BMI2C080 800MHz HSBGA286 PB_FREE,MARVELL,USD 6.6800,USD 6.6800
98,01-667812000,*CPU MARVELL 88F6781-Y0-BJV2C000 1200MHz BGA568 PB_FREE,MARVELL,,
99,01-668200100,CPU MARVELL 88F6820-A0-BRT4C100 1GHz TFBGA372 PB_FREE,MARVELL,USD 10.0000,USD 9.3000
100,01-668200180,CPU MARVELL 88F6820-A0-BRT4C180 1.8GHz TFBGA372 PB_FREE,MARVELL,USD 15.0000,USD 15.0000
101,01-668203330,CPU MARVELL 88F6820-A0-BRT4C133 1333MHz TFBGA372 PB_FREE,MARVELL,USD 9.2500,USD 9.2500
102,01-668203331,CPU MARVELL 88F6820-B0-BRT4C133 1333MHz TFBGA372 PB_FREE,MARVELL,USD 9.2500,USD 9.2500
103,01-668283330,CPU MARVELL 88F6828-A0-BRT4C133 1333MHz TFBGA372 PB_FREE,MARVELL,USD 13.0000,USD 13.0000
104,01-678136000,*CPU MARVELL MV78130-XX-BJR2C000 1.6GHz FCBGA732 PB_FREE,MARVELL,,
105,01-678230660,CPU MARVELL MV78230-B0-BJR2C106 1066MHz FCBGA732 PB_FREE,MARVELL,USD 17.5000,USD 17.5000
106,01-678231330,*CPU MARVELL MV78230-B0-BJR2C133 1.33GHz FCBGA732 PB_FREE,MARVELL,USD 20.5000,USD 20.5000
107,01-678232000,*CPU MARVELL MV78230-xx-BJR2C120 1.2GHz FCBGA732 PB_FREE,MARVELL,,
108,01-688678000,CPU MARVELL 88F6720-A0-BRP2C080 800MHz TFBGA-511 PB_FREE,MARVELL,USD 10.0000,USD 10.0000
109,01-708103670,*CPU OXFORD OXE810DSE 367MHz PBGA272 PB_FREE,OXFORD,USD 12.0000,USD 12.0000
110,01-778207500,*CPU PLX NAS7820-AABC F 750MHz FBGA256 PB_FREE,PLX,USD 6.0000,
111,01-832082000,*CPU TI TMS320DM8168BCYG2 1.2GHz FCBGA-1031 PB_FREE,TI,USD 45.0000,USD 45.0000
112,01-832082001,*CPU TI TMS320DM8168SCYG2 1.2GHz FCBGA-1031 PB_FREE,TI,USD 45.0000,USD 45.0000
113,01-886490100,*CPU APM APM86491-RKA1000T(RAID Enable) 1000MHz PBGA-529  PB_FREE,APM,,
114,01-986202000,*CPU Mindspeed M86208 1.2GHz 625BGA PB_FREE,Mindspeed,,
115,01-986202001,*CPU Mindspeed M86201 1.2GHz 625BGA PB_FREE,Mindspeed,USD 10.9500,USD 10.9500
116,01-A00727201,CPU AMD EPYC 7272 2.9/3.2GHz 12Core SP3,AMD,USD 524.0000,USD 524.0000
117,01-A05800E01,CPU AMD RYZEN-EMBEDDED-5000 5800E(100-000000732) 3.4/3.7GHz 8Core AM4,AMD,USD 461.0000,
118,01-A07232P01,CPU AMD EPYC 7232P 3.1/3.2GHz 8Core SP3,AMD,USD 345.0000,USD 330.0000
119,01-A07443P01,CPU AMD EPYC 7443P 2.85/4GHz 24Core SP3,AMD,"USD 1,284.0000","USD 1,284.0000"
120,01-A15000220,CPU AMD RYZEN V1500B 2.2GHZ 4Core FP5 BGA PB_FREE,AMD,USD 33.4400,USD 35.2000
121,01-A17800360,CPU AMD RYZEN V1780B 3.6GHZ 4Core FP5 BGA PB_FREE,AMD,USD 73.5000,USD 73.5000
122,01-A26420280,*CPU AMD FP2 RE264XSHE23HLA 2.8GHZ 827-BGA PB_FREE,AMD,,
123,01-AR1600G01,CPU AMD RYZEN R1600 2.6/3.1GHz 2Core FP5,AMD,USD 23.1000,USD 23.1000
124,01-B30000150,CPU Annapurna AL21200-1400-A0-E-1AN-8-C 1.4GHz dual-Core FCBGA724 PB_FREE,Annapurna,USD 17.0000,USD 17.0000
125,01-B31400140,CPU Annapurna AL31400-1400-A0-E-1AN-8-C 1.4GHz Quad-Core FCBGA724 PB_FREE,Annapurna,USD 29.0000,USD 29.0000
126,01-B31410170,CPU Annapurna ALPINE AL314-1700 1.7GHz Quad-Core HSfcBGA PB_FREE,Annapurna,USD 27.0000,USD 27.0000
127,01-B50000170,CPU Annapurna AL514  1700MHz HSfcBGA PB_FREE,Annapurna,USD 80.0000,USD 80.0000
128,01-C58620140,CPU Broadcom BCM58622BB1KF14G 1.4GHz Dual Core FCBGA-561 PB_FREE,Broadcom,USD 16.1100,USD 16.0000
129,01-C58621000,CPU Broadcom BCM58622 1GHz Dual Core FCBGA-561 PB_FREE,Broadcom,USD 12.1600,USD 12.1600
130,01-D35351000,CPU HISILICON Hi3535 1GHz Dual Core EDHS-PBGA-563 PB_FREE,HISILICON,USD 24.0000,USD 13.0000
131,01-D35360140,CPU HISILICON Hi3536 1.4GHz Quad Core EDHS-PBGA-735 PB_FREE,HISILICON,USD 22.2000,USD 35.0000
132,01-E04121500,CPU ST STiH412 Dual-Core 1.5GHz FCBGA-700 PB_FREE,ST,USD 12.0000,USD 14.3000
133,01-F00601801,CPU QUALCOMM IPQ6018 1.8GHz 4Core FCBGA-570,Qualcomm,USD 13.1000,USD 13.7300
134,01-F00807101,CPU QUALCOMM IPQ8071A 1.4GHz 4Core FCBGA772,Qualcomm,USD 12.5000,USD 13.1000
135,01-F80640140,CPU Qualcomm IPQ8064 1.4GHz Dual Core BGA-519 PB_FREE,Qualcomm,,
136,01-F80650170,CPU Qualcomm IPQ8065 1.7GHz Dual Core FCBGA-519 PB_FREE,Qualcomm,USD 9.9500,USD 9.9500
137,01-G01619B01,CPU REALTEK RTD1619BPB-VA1-CG 1.7GHz 4Core TFBGA435,REALTEK,USD 8.5000,USD 8.5000
138,01-G12960140,CPU Realtek RTD1296PB-VA1-CG 1.4GHz 4Core TFBGA-636 PB_FREE,REALTEK,USD 8.5000,USD 8.5000
139,01-G14012930,CPU Realtek RTD1293PN-VA1-CG 1.4GHz 2Core TFBGA-636 PB_FREE,REALTEK,USD 7.3000,USD 7.3000
140,01-G16190130,CPU Realtek RTD1619PB-VA1-CG 1.3GHz 6Core FCBGA PB_FREE,REALTEK,USD 8.1300,USD 8.1300
141,02-001036010,CHIPSET INTEL B360 BGA-874 PB_FREE,INTEL,,
142,02-001448910,CHIPSET INTEL Z390 BGA-874 PB_FREE,INTEL,,
143,02-001839510,"CHIPSET INTEL LEWISBURG-1G,C621 SR3HL BGA-1310 PB_FREE",INTEL,USD 57.0000,USD 66.0000
144,02-199AKAF01,CHIPSET Intel 600-Series 99AKAF FCBGA-28x25mm-1045,INTEL,,USD 52.0000
145,02-ACG309111,CHIPSET AMD 500-Series 100-CG3140 BGA-769,AMD,USD 55.0000,USD 55.0000
146,03-101G156A0,*DDRIII-1333 1Gb 16bits K4B1G1646G-BCH9 1.5V CL=9 FBGA96-D8 PB_FREE,SAMSUNG,USD 1.1000,USD 1.0500
147,03-104G85640,*DDRIII-1600 4Gb 16bits H5TQ4G63AFR-PBC 1.5V CL=11 FBGA96 PB_FREE,HYNIX,USD 3.7000,
148,03-112863010,*SDRAM 128Mb 16bits 166MHz A2V28S40CTP-G6PP 3.3V TSOPII 54P PB_FREE,PSC,USD 0.8500,USD 0.8500
149,03-112863080,*SDRAM 128Mb 166MHz EDS1216AGTA-6B-E 3.3V TSOPII 54P PB_FREE,ELPIDA,USD 1.6000,USD 1.6000
150,03-112873030,*SDRAM 128Mb 143MHz A2V28S40BTP-G7PP 3.3V TSOPII 54P  PB_FREE,PSC,,
151,03-112873050,*SDRAM 128Mb 143MHz EM639165TS-7G 3.3V TSOPII 54P  PB_FREE,ETRON,NTD 56.4400,NTD 56.4400
152,03-112873070,*SDRAM 128Mb 133MHz EDS1216AATA-75-E 3.3V TSOPII 54P PB_FREE,ELPIDA,NTD 58.0500,NTD 58.0500
153,03-112873080,*SDRAM 128Mb 133MHz L128M16PC-133-E 3.3V TSOPII 54P PB_FREE,ELPIDA,,
154,03-112873081,*SDRAM 128Mb 133MHz EDS1216AGTA-75-E 3.3V TSOPII 54P PB_FREE,ELPIDA,NTD 55.6000,NTD 55.6000
155,03-125663050,*SDRAM 256Mb 166MHz EM63A165TS-6G 3.3V TSOPII 54P  PB_FREE,ETRON,USD 2.9500,USD 2.9500
156,03-125673012,*SDRAM 256Mb 143MHz A2V56S40BTP-G7PP 3.3V TSOPII 54P  PB_FREE,PSC,USD 2.8500,USD 2.8500
157,03-125673013,*SDRAM 256Mb 166MHz A3V56S40ETP-G6PP 3.3V TSOPII 54P  PB_FREE,PSC,USD 2.8501,USD 2.8501
158,03-125673040,*SDRAM 256Mb 133MHz HY57V561620CTP-H 3.3V TSOPII 54P  PB_FREE,HYNIX,,
159,03-1512730A0,*SDRAM 512Mb 133MHz K4S511632D-UC(L)75 3.3V TSOP 54P  PB_FREE,SAMSUNG,USD 11.4998,USD 11.4998
160,03-225651190,*DDRI400 256Mb W9425G6DH-5 2.5V TSOPII 66P PB_FREE,WINBOND,USD 2.2770,USD 2.2770
161,03-225661130,*DDRI400 256Mb A2S56D40CTP-G5PP  2.5V TSOPII  66P PB_FREE,PSC,,
162,03-225661131,*DDRI400 256Mb A3S56D40ETP-G5PP  2.5V TSOPII  66P PB_FREE,PSC,USD 2.0006,USD 2.0006
163,03-225661141,*DDRI400 256Mb HY5DU561622ETP-D43-C 2.5V TSOPII  66P PB_FREE,HYNIX,USD 1.9400,USD 1.9400
164,03-225661150,*DDRI400 256Mb EM6AA160TS-5G 2.5V TSOPII  66P PB_FREE,ETRON,NTD 95.1000,NTD 95.1000
165,03-251251140,*DDRI400 512Mb HY5DU121622CTP-D43 2.5V TSOPII  66P PB_FREE,HYNIX,USD 2.6000,USD 2.6000
166,03-251251141,*DDRI400 512Mb HY5DU121622DTP-D43 2.5V TSOPII  66P PB_FREE,HYNIX,USD 1.1300,USD 1.1300
167,03-301G24240,*DDRII800 1024Mb HY5PS1G1631CFP-S5 CL=5 1.8V FBGA84 PB_FREE,HYNIX,,
168,03-301G24241,*DDRII800 1024Mb 16bits HY5PS1G1631CFP-S6 CL=6 1.8V FBGA84 PB_FREE,HYNIX,,
169,03-301G243B0,*DDRII800 1GB D2SE28081XH25AA EDE1108A(F)BG-8E-F 1.8V SODIMM PB_FREE,DSL,NTD 860.0000,NTD 780.0000
170,03-301G243B1,*DDRII800 1GB H5PS1G83EFR-S6C 1.8V SODIMM PB_FREE,DSL,NTD 405.0000,NTD 397.0000
171,03-301G243D0,*DDRII800 1GB M2SK-1GHF5C05-C HY5PS1G831CFP-S5 1.8V SODIMM PB_FREE,INNODISK,NTD 455.0000,
172,03-301G243D1,*DDRII800 1GB M2SK-1GHF5C06-E 2.5ns CL6 1.8V SODIMM PB_FREE,INNODISK,NTD 440.0000,
173,03-301G243D2,*DDRII800 1GB M2SK-1GHF5C06-C 2.5ns CL6 1.8V SODIMM PB_FREE,INNODISK,NTD 310.0000,NTD 310.0000
174,03-301G243E0,*DDRII800 1GB 75.073AC.G03 EDE1108AFBG 1.8V SODIMM PB_FREE,APACER,,
175,03-301G243E1,*DDRII800 1GB 75.073AM.G06 E1108AFBG-8E-F 1.8V SODIMM PB_FREE,APACER,NTD 860.0000,USD 26.5000
176,03-301G243E2,*DDRII800 1GB 75.073AZ.G020C 2.5nS CL6 1.8V SODIMM PB_FREE,APACER,NTD 366.0000,NTD 366.0000
177,03-301G24440,*DDRII800 1Gb 16bits H5PS1G63EFR-S6C CL=6 1.8V FBGA84 PB_FREE,HYNIX,USD 1.3000,USD 1.4000
178,03-301G24480,*DDRII800 1024Mb EDE1116AEBG-8E-F CL=5 1.8V FBGA84 PB_FREE,ELPIDA,NTD 90.0000,USD 3.1900
179,03-301G24481,*DDRII800 1024Mb EDE1116AESE-8E-F CL=5 1.8V FBGA84 PB_FREE,ELPIDA,USD 1.8000,USD 2.3000
180,03-301G244A0,*DDRII800 1Gb 16bits K4T1G164QE-HCF7 CL=6 1.8V FBGA84 PB_FREE & Halogen_FREE,SAMSUNG,USD 2.2000,USD 2.8000
181,03-301G244A1,*DDRII800 1Gb 16bits K4T1G164QF-BCF7 CL=6 1.8V FBGA84 PB_FREE & Halogen_FREE,SAMSUNG,USD 1.6000,USD 1.6500
182,03-301G343D0,*DDRII533 1GB M2SJ-1GHCSCH4-C 1.8V SODIMM PB_FREE,INNODISK,NTD 650.0000,NTD 650.0000
183,03-301G44240,*DDRII667 1024Mb HY5PS1G1631CFP-Y5  1.8V FBGA84 PB_FREE,HYNIX,,
184,03-301G443B0,*DDRII667 1GB D2SE64082XG30AA EDE5108AJBG-6E-E 1.8V SODIMM PB_FREE,DSL,NTD 560.0000,NTD 560.0000
185,03-301G443B1,*DDRII667 1GB D2SE64082XG30AA EDE5108AGBG-6E-E 1.8V SODIMM PB_FREE,DSL,NTD 665.0000,NTD 560.0000
186,03-301G443B2,*DDRII667 1GB D2SH64082XG30AA HY5PS12821CFP-Y5 1.8V SODIMM PB_FREE,DSL,NTD 420.0000,NTD 420.0000
187,03-301G443B3,*DDRII667 1GB K4T51083QI CL=5 1.8V SODIMM PB_FREE,DSL,NTD 710.0000,
188,03-301G443C0,*DDRII667 1GB UG12T6400L8SU-6AP 1.8V SODIMM PB_FREE,UNIGEN,NTD 710.0000,NTD 360.0000
189,03-302G243B0,*DDRII800 2GB D2SE28082XH25AA E1108A(F)BG-8E-F 1.8V SODIMM PB_FREE,DSL,"NTD 1,450.0000",
190,03-302G243B1,*DDRII800 2GB H5PS1G83EFR-S6C 1.8V SODIMM PB_FREE,DSL,NTD 725.0000,NTD 780.0000
191,03-302G243D0,*DDRII800 2GB M2SK-2GHF6C05-C HY5PS1G831CFP-S5 1.8V SODIMM PB_FREE,INNODISK,NTD 720.0000,
192,03-302G243E0,*DDRII800 2GB 75.A73AM.G06 1.8V SODIMM PB_FREE,APACER,"NTD 1,430.0000","NTD 1,400.0000"
193,03-33256M001,DDRIII1600 FBGA96 2Gb MT41K128M16JT-125:K (Micron K Die) CL=11 1.35V,Micron,,
194,03-3512243B0,*DDRII800 512MB E1116AESE-8E-E 1.8V SODIMM PB_FREE,DSL,,
